,School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Location 1,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
470,P.S. 290 - BROOKLYN,K,19,ROOFS/WINDOWS/PARAPETS,2880000.0,CIP,K290,135 SCHENCK AVENUE,Brooklyn,11207.0,BROOKLYN ,"(40.67789, -73.889758)",40.67789,-73.889758,5.0,37.0,1198.0,3087821.0,3039490018.0,East New York                                                              
471,I.S. 291 - BROOKLYN,K,32,RENEWAL SBHC,2016400.0,CIP,K291,231 PALMETTO STREET,Brooklyn,11221.0,BROOKLYN ,"(40.695362, -73.915142)",40.695362,-73.915142,4.0,37.0,433.0,3076460.0,3033430001.0,Bushwick North                                                             
477,YOUNG SCHOLAR'S ACADEMY - BROO,K,16,STRUCTURAL DEFECTS/EXT MASONRY,3777000.0,CIP,K304,280 HART STREET,Brooklyn,11206.0,BROOKLYN ,"(40.694086, -73.940744)",40.694086,-73.940744,3.0,36.0,281.0,3049420.0,3017730014.0,Stuyvesant Heights                                                         
481,P.S. 503 - BROOKLYN,K,20,EXTERIOR MASONRY/PARAPETS/ROOFS,4970000.0,CIP,K314,330 59 STREET,Brooklyn,11220.0,BROOKLYN ,"(40.642121, -74.018997)",40.642121,-74.018997,7.0,38.0,74.0,3016258.0,3008620012.0,Sunset Park West                                                           
482,P.S. 375 - BROOKLYN,K,17,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,6238000.0,CIP,K320,46 MCKEEVER PLACE,Brooklyn,11225.0,BROOKLYN ,"(40.665035, -73.959031)",40.665035,-73.959031,9.0,35.0,325.0,3034356.0,3013010001.0,Crown Heights South                                                        
483,P.S. 321 - BROOKLYN,K,15,FULL PROGRAM ACCESSIBILITY/FIRE ALARM,5581000.0,CIP,K321,180 7TH AVENUE,Brooklyn,11215.0,BROOKLYN ,"(40.67146, -73.977783)",40.67146,-73.977783,6.0,39.0,155.0,3337516.0,3009710028.0,Park Slope-Gowanus                                                         
487,M.S. 354 - BROOKLYN,K,17,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,6409024.0,CIP,K390,1224 PARK PLACE,Brooklyn,11213.0,BROOKLYN ,"(40.672713, -73.936924)",40.672713,-73.936924,8.0,36.0,343.0,3036405.0,3013700029.0,Crown Heights North                                                        
488,P.S. 109 - BROOKLYN,K,22,DEFECTIVE GYMNASIUM WALLS/ROOFS/PARAPETS,3783000.0,CIP,K395,1001 EAST 45 STREET,Brooklyn,11203.0,BROOKLYN ,"(40.636455, -73.933582)",40.636455,-73.933582,17.0,45.0,836.0,3114526.0,3050220002.0,East Flatbush-Farragut                                                     
490,MIDWOOD HS - BROOKLYN,K,21,CRACKED CONCRETE STRUCTURE/FIELD HOUSE,18211000.0,CIP,K406,1124 EAST 17 STREET,Brooklyn,11210.0,BROOKLYN ,"(40.622641, -73.958988)",40.622641,-73.958988,14.0,44.0,768.0,3000000.0,3067260087.0,Midwood                                                                    
491,ABRAHAM LINCOLN HS - BROOKLYN,K,21,SANDY: INTERIOR/VENT/ELEC/FLOOD/ATHLETIC FIELD,39842974.0,CIP,K411,2800 OCEAN PARKWAY,Brooklyn,11235.0,BROOKLYN ,"(40.581681, -73.967308)",40.581681,-73.967308,13.0,47.0,354.0,3196293.0,3072540001.0,West Brighton                                                              
493,JAMES MADISON HS - BROOKLYN,K,22,SWIMMING POOL,5779000.0,CIP,K425,3787 BEDFORD AVENUE,Brooklyn,11229.0,BROOKLYN ,"(40.609912, -73.948512)",40.609912,-73.948512,15.0,48.0,642.0,3182721.0,3067880001.0,Madison                                                                    
494,BROOKLYN TECH HS - K,K,13,LOW VOLT ELEC SYS/KITCHEN FIRE SUPRESSION SYS,4291000.0,CIP,K430,29 FT GREENE PLACE,Brooklyn,11217.0,BROOKLYN ,"(40.688834, -73.976905)",40.688834,-73.976905,2.0,35.0,33.0,3058752.0,3020980013.0,Fort Greene                                                                
495,PERFORMING ARTS AND TECH. HS -,K,19,FY14 RESO A GYMNASIUM UPGRADE,1032000.0,CIP,K435,400 PENNSYLVANIA AVENUE,Brooklyn,11207.0,BROOKLYN ,"(40.667456, -73.894747)",40.667456,-73.894747,5.0,42.0,1156.0,3084440.0,3037880001.0,East New York (Pennsylvania Ave)                                           
496,THE INTERNATIONAL HS - BROOKLY,K,17,MASONRY/WINDOWS/PARAPETS/ROOFS/FLOOD ELIMINAITON,20937000.0,CIP,K440,883 CLASSON AVENUE,Brooklyn,11225.0,BROOKLYN ,"(40.670349, -73.961695)",40.670349,-73.961695,9.0,35.0,213.0,3029686.0,3011870001.0,Crown Heights South                                                        
497,NEW UTRECHT HS - BROOKLYN,K,20,WATER PENETRATION INTO BASEMENT/NATATORIUM RECONST,8803000.0,CIP,K445,1601 80 STREET,Brooklyn,11214.0,BROOKLYN ,"(40.613262, -74.003404)",40.613262,-74.003404,11.0,43.0,182.0,3162711.0,3062710001.0,Bensonhurst West                                                           
498,NEW UTRECHT HS - BROOKLYN,K,20,ATHLETIC FIELD REPAIRS,5290000.0,CIP,K446,1601 80 STREET,Brooklyn,11214.0,BROOKLYN ,"(40.613262, -74.003404)",40.613262,-74.003404,11.0,43.0,182.0,3162711.0,3062710001.0,Bensonhurst West                                                           
499,BROOKLYN ACADEMY HS - BROOKLYN,K,13,WORK REQUIRED TO OBTAIN A C OF O,9436400.0,CIP,K458,832 MARCY AVENUE,Brooklyn,11216.0,BROOKLYN ,"(40.685004, -73.947152)",40.685004,-73.947152,3.0,36.0,249.0,3051641.0,3018230038.0,Bedford                                                                    
500,SECONDARY SCHOOL FOR LAW - K,K,15,DETERIORATED LEADER AND DRAIN LINES,8985000.0,CIP,K460,237 7TH AVENUE,Brooklyn,11215.0,BROOKLYN ,"(40.669629, -73.979287)",40.669629,-73.979287,6.0,39.0,155.0,3025510.0,3010820001.0,Park Slope-Gowanus                                                         
501,THE BROOKLYN SCHOOL FOR SOCIAL,K,32,SCHOOL BASED HEALTH CENTER,1250581.23,CIP,K480,400 IRVING AVENUE,Brooklyn,11237.0,BROOKLYN ,"(40.69697, -73.910791)",40.69697,-73.910791,4.0,37.0,435.0,3076908.0,3033650098.0,Bushwick North                                                             
502,FORT HAMILTON HS - K,K,20,POOL BOILER,4395000.0,CIP,K490,8301 SHORE ROAD,Brooklyn,11209.0,BROOKLYN ,"(40.627835, -74.040046)",40.627835,-74.040046,10.0,43.0,46.0,3152318.0,3060130001.0,Bay Ridge                                                                  
503,SHEEPSHEAD BAY HS - BROOKLYN,K,22,SCHOOL BASED HEALTH CENTER,1570000.0,CIP,K495,3000 AVENUE X,Brooklyn,11235.0,BROOKLYN ,"(40.594124, -73.937696)",40.594124,-73.937696,15.0,48.0,626.0,3203631.0,3074250002.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
504,BROOKLYN GENERATION SCHOOL - K,K,18,ATHLETIC FIELD - TRACK,1618000.0,CIP,K516,6565 FLATLANDS AVENUE,Brooklyn,11236.0,BROOKLYN ,"(40.633285, -73.916735)",40.633285,-73.916735,18.0,46.0,950.0,3224139.0,3079980005.0,Canarsie                                                                   
505,GEORGE WESTINGHOUSE VOC. HS,K,13,PARAPETS/EXTERIOR MASONRY/ROOFS/FLOOD ELIMINATION,9743000.0,CIP,K580,105 JOHNSON STREET,Brooklyn,11201.0,BROOKLYN ,"(40.694926, -73.986015)",40.694926,-73.986015,2.0,33.0,13.0,3348041.0,3001310001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
506,CLARA BARTON HS - K,K,17,EXTERIOR MASONRY/ROOFS,7064000.0,CIP,K600,901 CLASSON AVENUE,Brooklyn,11225.0,BROOKLYN ,"(40.669567, -73.961962)",40.669567,-73.961962,9.0,35.0,213.0,3029702.0,3011880001.0,Crown Heights South                                                        
509,WILLIAM E. GRADY VOC HS - K,K,21,FY16 RESO A CULINARY ARTS ROOM,1692000.0,CIP,K620,25 BRIGHTON 4TH ROAD,Brooklyn,11235.0,BROOKLYN ,"(40.582585, -73.963477)",40.582585,-73.963477,13.0,48.0,366.0,3196378.0,3072610201.0,Brighton Beach                                                             
510,WIILIAMSBURG PREP- BROOKLYN,K,14,ROOFS/WINDOWS/PARAPETS/EXT MASONRY,11337000.0,CIP,K650,257 N 6TH STREET,Brooklyn,11211.0,BROOKLYN ,"(40.715073, -73.954754)",40.715073,-73.954754,1.0,33.0,519.0,3062135.0,3023300011.0,North Side-South Side                                                      
511,BROOKLYN HS OF THE ARTS - BROO,K,15,ANSUL SYS/FIRE ALARM/MECHANICAL SYS - VENTILATION,5186160.0,CIP,K655,345 DEAN STREET,Brooklyn,11217.0,BROOKLYN ,"(40.683559, -73.98027)",40.683559,-73.98027,2.0,33.0,39.0,3001190.0,3001920013.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
512,BROOKLYN HS OF THE ARTS - BROO,K,15,DAMAGED EXTERIOR WALLS/ROOFS,6577000.0,CIP,K655,345 DEAN STREET,Brooklyn,11217.0,BROOKLYN ,"(40.683559, -73.98027)",40.683559,-73.98027,2.0,33.0,39.0,3001190.0,3001920013.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
513,BKLYN STUDIO SEC. SCL - BROOKL,K,21,EXT MASONRY/ROOFS/WINDOWS,6137000.0,CIP,K721,8310 21ST AVE,Brooklyn,11214.0,BROOKLYN ,"(40.604879, -73.994404)",40.604879,-73.994404,11.0,47.0,288.0,3165232.0,3063290032.0,Bensonhurst West                                                           
514,EL PUENTE ACADEMY - BROOKLYN,K,14,MASONRY/WINDOWS/PARAPETS/ROOFS,4212649.0,CIP,K778,250 HOOPER STREET,Brooklyn,11211.0,BROOKLYN ,"(40.705898, -73.955611)",40.705898,-73.955611,1.0,33.0,529.0,3379706.0,3022070002.0,Williamsburg                                                               
516,P.S. 295 - BROOKLYN,K,15,GYM & CAFE FLOOR/FLOOD/FLOOR/PARAPETS/MASONRY/ROOF,9114000.0,CIP,K845,330 18 STREET,Brooklyn,11215.0,BROOKLYN ,"(40.660976, -73.988297)",40.660976,-73.988297,7.0,38.0,147.0,3331274.0,3008800001.0,Sunset Park West                                                           
517,I.S. 340 - BROOKLYN,K,13,EXTERIOR MASONRY/FLOOD ELIMINATION,1748000.0,CIP,K874,227 STERLING PLACE,Brooklyn,11238.0,BROOKLYN ,"(40.676094, -73.97038)",40.676094,-73.97038,8.0,35.0,163.0,3029060.0,3011640057.0,Prospect Heights                                                           
518,P.S. 5 - MANHATTAN,M,6,PARAPETS/ROOFS/WINDOWS,10770000.0,CIP,M005,3703 TENTH AVENUE,Manhattan,10034.0,MANHATTAN,"(40.85899, -73.922894)",40.85899,-73.922894,12.0,10.0,299.0,1084201.0,1021500030.0,Marble Hill-Inwood                                                         
521,P.P.A.S. - MANHATTAN,M,2,MASONRY/AUD UPG/WIN/FLOOD/PARAPETS/ROOFS/FA,7315000.0,CIP,M017,328 WEST 48 STREET,Manhattan,10036.0,MANHATTAN,"(40.761448, -73.988019)",40.761448,-73.988019,4.0,3.0,127.0,1025092.0,1010380014.0,Clinton                                                                    
523,J.H.S. 47 (SCH FOR THE DEAF) -,M,2,PARAPETS/WINDOWS/EXTERIOR MASONRY,2654000.0,CIP,M047,223 EAST 23 STREET,Manhattan,10010.0,MANHATTAN,"(40.738548, -73.982455)",40.738548,-73.982455,6.0,2.0,64.0,,,Gramercy                                                                   
524,P.S. 48 - MANHATTAN,M,6,TCU REMOVAL / PLAYGROUND REDEVELOPMENT,1528000.0,CIP,M048,4360-78 BROADWAY,Manhattan,10033.0,MANHATTAN,"(40.853466, -73.934048)",40.853466,-73.934048,12.0,10.0,271.0,1076752.0,1021670029.0,Washington Heights North                                                   
525,P.S. 50 - MANHATTAN,M,4,EXTERIOR MASONRY/ROOFS/PARAPETS/SITE WALLS,15829000.0,CIP,M050,433 EAST 100 STREET,Manhattan,10029.0,MANHATTAN,"(40.785258, -73.941526)",40.785258,-73.941526,11.0,8.0,162.0,1083933.0,1016940001.0,East Harlem South                                                          
526,J.H.S. 52 - MANHATTAN,M,6,FLOOD ELIMINATION/EXTERIOR MASONRY,2559000.0,CIP,M052,650 ACADEMY STREET,Manhattan,10034.0,MANHATTAN,"(40.866053, -73.924835)",40.866053,-73.924835,12.0,10.0,291.0,1076776.0,1022330020.0,Marble Hill-Inwood                                                         
530,P.S. 75 - MANHATTAN,M,3,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,6666000.0,CIP,M075,735 WEST END AVENUE,Manhattan,10025.0,MANHATTAN,"(40.795157, -73.973292)",40.795157,-73.973292,7.0,6.0,183.0,1034190.0,1012530065.0,Upper West Side                                                            
533,P.S. 83 - MANHATTAN,M,4,FULL PROGRAM ACCESSIBILITY,8585000.0,CIP,M083,219 EAST 109 STREET,Manhattan,10029.0,MANHATTAN,"(40.793194, -73.942548)",40.793194,-73.942548,11.0,8.0,180.0,1052436.0,1016590012.0,East Harlem North                                                          
534,J.H.S. 860 - MANHATTAN,M,3,SCIENCE LAB UPGRADE,1275000.0,CIP,M088,215 WEST 114 STREET,Manhattan,10026.0,MANHATTAN,"(40.802207, -73.954142)",40.802207,-73.954142,10.0,9.0,218.0,1055204.0,1018300019.0,Central Harlem South                                                       
535,BARD COLLEGE HS - MANHATTAN,M,1,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY FLOOD/MSNRY,6913000.0,CIP,M097,525 EAST HOUSTON STREET,Manhattan,10002.0,MANHATTAN,"(40.719029, -73.975891)",40.719029,-73.975891,3.0,2.0,1002.0,1004062.0,1003250025.0,Lower East Side                                                            
536,SUCCESS ACADEMY CHARTER SCHOOL,M,4,INTERIOR STAIRS,2045000.0,CIP,M099,410 EAST 100 STREET,Manhattan,10029.0,MANHATTAN,"(40.785671, -73.942548)",40.785671,-73.942548,11.0,8.0,162.0,1052998.0,1016930001.0,East Harlem South                                                          
537,P.S. 108 - MANHATTAN,M,4,PLANYC BOILER/PLANC CLIMATE CTRL/LOW VOLT/KITCHEN,6384000.0,CIP,M108,1615 MADISON AVENUE,Manhattan,10029.0,MANHATTAN,"(40.795146, -73.948368)",40.795146,-73.948368,11.0,8.0,17401.0,1051584.0,1016140021.0,East Harlem South                                                          
538,P.S. 241 - MANHATTAN,M,3,FLOOD ELIMINATION,1337000.0,CIP,M113,240 WEST 113 STREET,Manhattan,10026.0,MANHATTAN,"(40.801689, -73.954908)",40.801689,-73.954908,10.0,9.0,216.0,1055111.0,1018280015.0,Central Harlem South                                                       
539,P.S. 241 - MANHATTAN,M,3,PLANYC BOILER CONVERSION/CIMATE CONTROL,4697000.0,CIP,M113,240 WEST 113 STREET,Manhattan,10026.0,MANHATTAN,"(40.801689, -73.954908)",40.801689,-73.954908,10.0,9.0,216.0,1055111.0,1018280015.0,Central Harlem South                                                       
540,I.S. 372 - MANHATTAN,M,4,SCIENCE LAB UPGRADE,1116000.0,CIP,M117,240 EAST 109 STREET,Manhattan,10029.0,MANHATTAN,"(40.79307, -73.942303)",40.79307,-73.942303,11.0,8.0,170.0,1052433.0,1016560100.0,East Harlem South                                                          
541,P.S. 333 - MANHATTAN,M,3,EXTERIOR MASONRY/ROOFS/PARAPETS,11148891.0,CIP,M118,154 WEST 93 STREET,Manhattan,10025.0,MANHATTAN,"(40.791728, -73.970845)",40.791728,-73.970845,7.0,6.0,177.0,1032522.0,1012230005.0,Upper West Side                                                            
542,P.S. 123 - MANHATTAN,M,5,FLOOD ELIMINATION,4815000.0,CIP,M123,301 WEST 140 STREET,Manhattan,10030.0,MANHATTAN,"(40.819767, -73.944433)",40.819767,-73.944433,10.0,9.0,22102.0,1060726.0,1020420035.0,Central Harlem North-Polo Grounds                                          
543,P.S. 128 - MANHATTAN,M,6,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,6790000.0,CIP,M128,560 WEST 169 STREET,Manhattan,10032.0,MANHATTAN,"(40.841321, -73.938506)",40.841321,-73.938506,12.0,10.0,251.0,1062994.0,1021250001.0,Washington Heights South                                                   
544,P.S. 142 - MANHATTAN,M,1,PLAY YARD SINKHOLE,2688000.0,CIP,M142,100 ATTORNEY STREET,Manhattan,10002.0,MANHATTAN,"(40.718383, -73.984452)",40.718383,-73.984452,3.0,1.0,1402.0,1004080.0,1003430001.0,Lower East Side                                                            
545,P.S. 145 - MANHATTAN,M,3,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,3073000.0,CIP,M145,150 WEST 105 STREET,Manhattan,10025.0,MANHATTAN,"(40.799178, -73.964842)",40.799178,-73.964842,7.0,7.0,189.0,1076625.0,1018590001.0,Upper West Side                                                            
547,P.S. 152 - MANHATTAN,M,6,WATER INFILTRATION,2238000.0,CIP,M152,93 NAGLE AVENUE,Manhattan,10040.0,MANHATTAN,"(40.860412, -73.927936)",40.860412,-73.927936,12.0,10.0,283.0,1064149.0,1021730001.0,Washington Heights North                                                   
548,P.S. 163 - MANHATTAN,M,3,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,2442564.0,CIP,M163,163 WEST 97 STREET,Manhattan,10025.0,MANHATTAN,"(40.794264, -73.968706)",40.794264,-73.968706,7.0,7.0,185.0,1055908.0,1018520099.0,Upper West Side                                                            
549,P.S. 165 - MANHATTAN,M,3,EXT MASONRY/ROOFS,6233477.0,CIP,M165,234 WEST 109 STREET,Manhattan,10025.0,MANHATTAN,"(40.802917, -73.965613)",40.802917,-73.965613,7.0,7.0,195.0,1056676.0,1018800013.0,Morningside Heights                                                        
550,I.S. 167 - MANHATTAN,M,2,FACADE DAMAGE/SITE WORK/FLOOD/PARAPET/WINDOWS/ROOF,7547888.0,CIP,M167,220 EAST 76 STREET,Manhattan,10021.0,MANHATTAN,"(40.77205, -73.958066)",40.77205,-73.958066,8.0,4.0,134.0,1044058.0,1014300005.0,Lenox Hill-Roosevelt Island                                                
551,P.S. 183 - MANHATTAN,M,2,EXTERIOR MASONRY/FLOOD ELIMINATION/ PARAPETS/ROOFS,11870000.0,CIP,M183,419 EAST 66 STREET,Manhattan,10065.0,MANHATTAN,"(40.763736, -73.95815)",40.763736,-73.95815,8.0,5.0,116.0,1045569.0,1014610007.0,Lenox Hill-Roosevelt Island                                                
552,P.S. 185 - MANHATTAN,M,3,PLAY YARD SURFACE DEFECTS,2330000.0,CIP,M185,20 WEST 112 STREET,Manhattan,10026.0,MANHATTAN,"(40.798511, -73.949251)",40.798511,-73.949251,10.0,9.0,186.0,1051410.0,1015950015.0,Central Harlem South                                                       
554,HAMILTON GRANGE MIDDLE SCHOOL,M,6,SCIENCE LAB UPGRADE,1098000.0,CIP,M192,500 WEST 138 STREET,Manhattan,10031.0,MANHATTAN,"(40.820953, -73.951145)",40.820953,-73.951145,9.0,7.0,22301.0,1084132.0,1019880166.0,Manhattanville                                                             
555,P.S. 198 - MANHATTAN,M,2,WINDOWS/ROOFS/PARAPETS,7852000.0,CIP,M198,1700 3RD AVENUE,Manhattan,10128.0,MANHATTAN,"(40.784826, -73.949611)",40.784826,-73.949611,8.0,5.0,15801.0,1048492.0,1015240023.0,Upper East Side-Carnegie Hill                                              
557,GRAMERCY ARTS HS - MANHATTAN,M,2,ELECTRICAL SYSTEMS/PA SYSTEM,6221000.0,CIP,M460,40 IRVING PLACE,Manhattan,10003.0,MANHATTAN,"(40.735494, -73.987659)",40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
558,WASHINGTON IRVING H.S.,M,2,WATER STORAGE TANK,1189512.0,CIP,M460,40 IRVING PLACE,Manhattan,10003.0,MANHATTAN,"(40.735494, -73.987659)",40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
559,WASHINGTON IRVING HS - MANHATT,M,2,EXT. MASONRY/ROOF/PARAPET/ FLOOD ELIM./WINDOWS/GYM,43221000.0,CIP,M460,40 IRVING PLACE,Manhattan,10003.0,MANHATTAN,"(40.735494, -73.987659)",40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
562,BERGTRAUM HS - MANHATTAN,M,2,LIBRARY UPGRADE,2295000.0,CIP,M520,411 PEARL STREET,Manhattan,10038.0,MANHATTAN,"(40.711442, -74.000851)",40.711442,-74.000851,1.0,1.0,29.0,1001388.0,1001130100.0,Chinatown                                                                  
563,BERGTRAUM HS - MANHATTAN,M,2,SCIENCE LAB UPGRADE/FIRE ALARM SYSTEMS,8097230.0,CIP,M520,411 PEARL STREET,Manhattan,10038.0,MANHATTAN,"(40.711442, -74.000851)",40.711442,-74.000851,1.0,1.0,29.0,1001388.0,1001130100.0,Chinatown                                                                  
564,PARK WEST H. S. (ECF),M,2,C OF O/C OF O VENT/WATER PLANT/BOILER/ENERGY MGMT,23313000.0,CIP,M535,525 WEST 50 STREET,Manhattan,10019.0,MANHATTAN,"(40.765184, -73.992953)",40.765184,-73.992953,4.0,3.0,135.0,1083802.0,1010790029.0,Clinton                                                                    
565,A. PHILIP RANDOLPH HS -MANHATT,M,6,EXT MASONRY/FLOOD ELMNTN/PARAPETS/ROOFS,64898000.0,CIP,M540,443 WEST 135 STREET,Manhattan,10031.0,MANHATTAN,"(40.818188, -73.950356)",40.818188,-73.950356,9.0,9.0,21703.0,1059409.0,1019570078.0,Manhattanville                                                             
566,FASHION INDUSTRIES VOC HS - M,M,2,ACCESSIBILITY,3300000.0,CIP,M600,225 WEST 24 STREET,Manhattan,10011.0,MANHATTAN,"(40.745156, -73.996074)",40.745156,-73.996074,4.0,3.0,91.0,1014174.0,1007740019.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
567,CHELSEA VOC HS - MANHATTAN,M,2,LOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,2314098.0,CIP,M615,131 AVE OF THE AMERICAS,Manhattan,10013.0,MANHATTAN,"(40.7244, -74.004625)",40.7244,-74.004625,2.0,3.0,37.0,1007378.0,1004910016.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
568,NORMAN THOMAS HS - MANHATTAN,M,2,SCIENCE LAB,1359000.0,CIP,M620,111 EAST 33 STREET,Manhattan,10016.0,MANHATTAN,"(40.746176, -73.981241)",40.746176,-73.981241,5.0,2.0,72.0,1087537.0,1008897501.0,Murray Hill-Kips Bay                                                       
569,HS OF GRAPHIC COMM. ARTS (VOC),M,2,EXT MASONRY/ROOFS/PARAPETS,7649000.0,CIP,M625,439 WEST 49 STREET,Manhattan,10019.0,MANHATTAN,"(40.76337, -73.990593)",40.76337,-73.990593,4.0,3.0,127.0,1026646.0,1010590015.0,Clinton                                                                    
570,HS OF GRAPHIC COMM. ARTS (VOC),M,2,PLANYC BOILERS CONVERSION/CLIMATE CONTROL,8627000.0,CIP,M625,439 WEST 49 STREET,Manhattan,10019.0,MANHATTAN,"(40.76337, -73.990593)",40.76337,-73.990593,4.0,3.0,127.0,1026646.0,1010590015.0,Clinton                                                                    
571,M721 SPED - MANHATTAN,M,2,REINFORCE CINDER/FLOORS/ACCESSIBLITY/ELEC UPG/FA,6142800.0,CIP,M641,16 CLARKSON STREET,Manhattan,10014.0,MANHATTAN,"(40.729412, -74.006148)",40.729412,-74.006148,2.0,3.0,67.0,1009757.0,1005810054.0,West Village                                                               
573,HS FOR ENVIRONMENTAL STUDIES -,M,2,6TH FLOOR EGRESS/FIRE ALARM,3621000.0,CIP,M834,444 WEST 56 STREET,Manhattan,10019.0,MANHATTAN,"(40.767791, -73.987531)",40.767791,-73.987531,4.0,3.0,139.0,1026841.0,1010650001.0,Clinton                                                                    
577,I.S. 5 - QUEENS,Q,24,HVAC/PUBLIC ADDRESS SYSTEM,4710000.0,CIP,Q005,50-40 JACOBUS STREET,Queens,11373.0,QUEENS   ,"(40.737718, -73.887429)",40.737718,-73.887429,4.0,25.0,489.0,4454423.0,4024500017.0,Elmhurst-Maspeth                                                           
578,Q009 SPED - QUEENS,Q,24,EXT MSNRY/PARAPET/FLOOD/ ACCESSIBILITY/FIRE ALARM,10840000.0,CIP,Q009,58-74 57 STREET,Queens,11378.0,QUEENS   ,"(40.718935, -73.912208)",40.718935,-73.912208,5.0,30.0,535.0,4059130.0,4026310106.0,Maspeth                                                                    
579,P.S. 12 - QUEENS,Q,24,BOILER REPLACE/ELEC SWITCH UPG/PLANYC CLIMATE CTRL,5887000.0,CIP,Q012,42-00 72 STREET,Queens,11377.0,QUEENS   ,"(40.742633, -73.892805)",40.742633,-73.892805,2.0,26.0,483.0,4031853.0,4013490028.0,Elmhurst-Maspeth                                                           
581,P.S. 354 - QUEENS,Q,28,DEFECTIVE PARAPET WALL/ROOFS/EXT MASONRY,5977000.0,CIP,Q030,126-10 BEDELL STREET,Queens,11434.0,QUEENS   ,"(40.68031, -73.774432)",40.68031,-73.774432,12.0,28.0,33402.0,4270045.0,4124950065.0,Springfield Gardens North                                                  
582,P.S. 31 - QUEENS,Q,26,CHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,14330000.0,CIP,Q031,211-45 46 ROAD,Queens,11361.0,QUEENS   ,"(40.757064, -73.770122)",40.757064,-73.770122,11.0,19.0,1447.0,4156949.0,4073160018.0,Bayside-Bayside Hills                                                      
583,P.S. 33 - QUEENS,Q,29,ROOF REPAIR/PARAPETS/EXTERIOR MASONRY,8860557.0,CIP,Q033,91-37 222 STREET,Queens,11428.0,QUEENS   ,"(40.727134, -73.735077)",40.727134,-73.735077,13.0,23.0,560.0,4230589.0,4107560001.0,Queens Village                                                             
584,P.S. 37 - QUEENS,Q,29,FLOOD/FA/EXT MASONRY/ELEVATOR/PARAPETS/FLOOD,14990000.0,CIP,Q037,179-37 137 AVENUE,Queens,11434.0,QUEENS   ,"(40.67588, -73.758505)",40.67588,-73.758505,12.0,27.0,352.0,4279864.0,4129930118.0,St. Albans                                                                 
585,P.S. 40 - QUEENS,Q,28,EXTERIOR MASONRY/TCU REMOVAL & PLAYGROUND/FLOOD,9947450.0,CIP,Q040,109-20 UNION HALL STREET,Queens,11433.0,QUEENS   ,"(40.694125, -73.790675)",40.694125,-73.790675,12.0,28.0,260.0,4263341.0,4121510001.0,South Jamaica                                                              
586,P.S. 42 - QUEENS,Q,27,SANDY:INT/HEATING/FLOOD/CLIMATE/PIPING/HVAC/ELEC,15125767.0,CIP,Q042,488 BEACH 66 STREET,Queens,11692.0,QUEENS   ,"(40.594538, -73.795304)",40.594538,-73.795304,14.0,31.0,964.0,4302817.0,4160390014.0,Hammels-Arverne-Edgemere                                                   
588,P.S. 43 - QUEENS,Q,27,SANDY-INTERIOR/HEATING/FLOOD/ SHINGLE ROOF/CLIMATE,15000000.0,CIP,Q043,160 BEACH 29TH STREET,Queens,11691.0,QUEENS   ,"(40.593834, -73.76174)",40.593834,-73.76174,14.0,31.0,99802.0,4467711.0,4158200001.0,Far Rockaway-Bayswater                                                     
590,Q075 SPED - QUEENS,Q,28,FLOOD ELIMINATION/REINFORCING SUPPORT ELEMENTS,2167000.0,CIP,Q048,155-02 108 AVENUE,Queens,11433.0,QUEENS   ,"(40.694119, -73.797003)",40.694119,-73.797003,12.0,28.0,254.0,4216099.0,4101440042.0,South Jamaica                                                              
592,P.S. 52 - QUEENS,Q,29,WATER PENETRATION/PARAPETS,1718000.0,CIP,Q052,178-37 146 TERRACE,Queens,11434.0,QUEENS   ,"(40.661122, -73.766733)",40.661122,-73.766733,13.0,31.0,320.0,4285972.0,4133530020.0,Springfield Gardens South-Brookville                                       
